id,name,cuisine,vegetarian,spice_level,calories,protein_g,fat_g,rating,popular_tag,price_yuan,prep_minutes,allergens
1,宫保鸡丁,川菜,false,3,460,31,24,4.7,true,28,22,花生;大豆
2,麻婆豆腐,川菜,true,4,390,18,22,4.6,true,18,18,大豆
3,水煮鱼,川菜,false,5,520,36,29,4.5,true,42,28,鱼类;大豆
4,番茄鸡蛋面,家常菜,true,0,430,17,12,4.4,false,16,15,鸡蛋;小麦
5,清炒时蔬,家常菜,true,0,180,7,6,4.1,false,12,10,无
6,卤肉饭,家常菜,false,1,610,24,33,4.5,true,25,25,大豆
7,西湖牛肉羹,杭帮菜,false,0,250,22,8,4.3,false,24,18,鸡蛋
8,东坡肉,杭帮菜,false,1,680,28,48,4.6,true,48,45,大豆
9,龙井虾仁,杭帮菜,false,0,310,30,9,4.5,false,46,25,虾蟹贝类
10,清蒸鲈鱼,粤菜,false,0,330,39,11,4.7,false,52,24,鱼类
11,广式煲仔饭,粤菜,false,1,590,27,25,4.4,true,32,30,大豆
12,素菜水晶饺,粤菜,true,0,360,12,10,4.3,false,24,20,小麦
13,北京炸酱面,京菜,false,1,560,23,18,4.4,true,22,18,小麦;大豆
14,北京烤鸭卷,京菜,false,1,650,34,38,4.8,true,58,35,小麦;大豆
15,京酱肉丝,京菜,false,1,430,30,16,4.2,false,30,22,大豆
16,扬州炒饭,淮扬菜,false,0,520,22,19,4.4,true,22,16,鸡蛋
17,清炖狮子头,淮扬菜,false,1,590,29,35,4.5,false,36,35,鸡蛋
18,蟹粉豆腐,淮扬菜,true,0,340,18,18,4.2,false,34,24,大豆;虾蟹贝类
19,三杯鸡,台湾风味,false,2,540,32,27,4.6,true,35,25,大豆
20,台湾红烧牛肉面,台湾风味,false,2,640,37,24,4.7,true,38,30,小麦;大豆
21,蚵仔煎,台湾风味,false,1,420,20,22,4.2,false,26,20,虾蟹贝类;鸡蛋
22,兰州牛肉面,西北菜,false,2,610,35,17,4.5,true,24,18,小麦
23,羊肉泡馍,西北菜,false,1,700,38,29,4.4,false,34,32,小麦
24,凉皮,西北菜,true,2,410,11,9,4.2,true,14,12,小麦;花生
25,菌菇火锅,云南菜,true,1,380,15,13,4.5,false,40,30,菌菇
26,汽锅鸡,云南菜,false,0,450,42,16,4.6,false,48,40,无
27,老奶洋芋,云南菜,true,1,320,8,10,4.0,false,16,14,无
28,泰式罗勒鸡,东南亚风味,false,3,470,34,20,4.5,true,32,18,鱼露;大豆
29,越南春卷,东南亚风味,true,0,260,10,6,4.2,false,26,15,花生;虾蟹贝类
30,椰香咖喱蔬菜,东南亚风味,true,2,430,12,23,4.3,false,30,22,椰子
31,三文鱼波奇饭,轻食,false,0,520,35,18,4.6,true,45,12,鱼类;大豆
32,鸡胸藜麦沙拉,轻食,false,0,390,33,11,4.4,false,36,10,无
33,豆腐谷物碗,轻食,true,0,350,21,10,4.1,false,28,12,大豆
34,蔬菜寿司套餐,日式料理,true,0,330,9,5,4.2,false,34,15,小麦;大豆
35,味噌拉面,日式料理,false,1,570,28,21,4.5,true,39,20,小麦;大豆
36,照烧鸡肉饭,日式料理,false,1,590,34,19,4.4,true,36,16,小麦;大豆
37,泡菜拌饭,韩式料理,true,2,520,18,15,4.3,true,32,18,鸡蛋;大豆
38,泡菜豆腐锅,韩式料理,true,3,410,20,18,4.4,false,30,20,大豆
39,韩式烤牛肉饭,韩式料理,false,1,620,36,25,4.5,true,38,18,大豆
40,鹰嘴豆咖喱,印度风味,true,3,460,19,14,4.3,false,25,24,乳制品
41,坦都里烤鸡,印度风味,false,2,430,42,13,4.5,false,36,30,乳制品
42,蔬菜香料饭,印度风味,true,2,610,14,20,4.2,true,28,25,坚果
43,地中海鹰嘴豆丸碗,地中海风味,true,1,480,18,21,4.3,false,34,14,芝麻;小麦
44,地中海烤鸡皮塔,地中海风味,false,1,510,38,15,4.4,false,36,15,芝麻;小麦
45,番茄扁豆汤,地中海风味,true,0,300,17,7,4.1,false,20,18,无
